question,ai_response,expected_response
"Question 01","AI response 01","Expected response 01"
"Question 02","AI response 02","Expected response 02"
"Question 03","AI response 03","Expected response 03"
"Question 04","AI response 04","Expected response 04"
"Question 05","AI response 05","Expected response 05"
"Question 06","AI response 06","Expected response 06"
"Question 07","AI response 07","Expected response 07"
"Question 08","AI response 08","Expected response 08"
"Question 09","AI response 09","Expected response 09"
"Question 10","AI response 10","Expected response 10"
"Question 11","AI response 11","Expected response 11"
"Question 12","AI response 12","Expected response 12"
"Question 13","AI response 13","Expected response 13"
"Question 14","AI response 14","Expected response 14"
"Question 15","AI response 15","Expected response 15"
"Question 16","AI response 16","Expected response 16"
"Question 17","AI response 17","Expected response 17"
"Question 18","AI response 18","Expected response 18"
"Question 19","AI response 19","Expected response 19"
"Question 20","AI response 20","Expected response 20"
"Question 21","AI response 21","Expected response 21"
"Question 22","AI response 22","Expected response 22"
"Question 23","AI response 23","Expected response 23"
"Question 24","AI response 24","Expected response 24"
"Question 25","AI response 25","Expected response 25"
"Question 26","AI response 26","Expected response 26"
"Question 27","AI response 27","Expected response 27"
"Question 28","AI response 28","Expected response 28"
"Question 29","AI response 29","Expected response 29"
"Question 30","AI response 30","Expected response 30"
"Question 31","AI response 31","Expected response 31"
"Question 32","AI response 32","Expected response 32"
"Question 33","AI response 33","Expected response 33"
"Question 34","AI response 34","Expected response 34"
"Question 35","AI response 35","Expected response 35"
"Question 36","AI response 36","Expected response 36"
"Question 37","AI response 37","Expected response 37"
"Question 38","AI response 38","Expected response 38"
"Question 39","AI response 39","Expected response 39"
"Question 40","AI response 40","Expected response 40"
"Question 41","AI response 41","Expected response 41"
"Question 42","AI response 42","Expected response 42"
"Question 43","AI response 43","Expected response 43"
"Question 44","AI response 44","Expected response 44"
"Question 45","AI response 45","Expected response 45"
"Question 46","AI response 46","Expected response 46"
"Question 47","AI response 47","Expected response 47"
"Question 48","AI response 48","Expected response 48"
"Question 49","AI response 49","Expected response 49"
"Question 50","AI response 50","Expected response 50"
"Question 51","AI response 51","Expected response 51"
